poetry,text
شراب و عیش نهان چیست کارِ بی بنیاد / زدیم بر صفِ رندان و هرچه باداباد,نهانی شراب خوردن  و مخفیانه از از مردم ، عیش و عشرت کردن چه معنی دارد . یعنی کارِ بی فایده و بی اساس و بی رویه است . مثلِ بنائی که پایه نداشته و فقط نمای ظاهر دارد . بنابراین ما هم خود را داخلِ رندان کردیم و جزو آنها شدیم ، هر چه بادا باد . مراد این است که عیش و عشرت نهانی عرض و آبروی شخص را حفظ و صیانت می کند امّا با رندان مخلوط شدن و بطور علنی عیاشی و باده نوشی کردن آبروی آدم را بر باد می دهد . لکن ما چون در عیشِ نهانی صفا نیافتیم ، این است که حالا دیگر بر صفِ رندان زدیم و هر چه بادا باد . [ زدیم بر صفِ رندان = با رندان مخلوط گشتیم و جزو رندان شدیم ]
گره ز دل بگشا و ز سپهر یاد مکن / که فکرِ هیچ مهندس چنین گره نگشاد,عقدۀ غم و غصه را از دی بیرون بریز و از سپهر و از حرکات و احوالِ فلک یاد نکن که فکر هیچ مهندسی چنین مشکلی را نگشود . خلاصه غمِ دل را فراموش کن و از فلک هم شکایت نکن ، زیرا مؤثرِ حقیقی در کارها فلک نیست و بلکه خودِ خالق است که نه تنها مقادیر و حرکلاتِ افلاک و درجات و دقایق بروج را حتی ثانیه و ثالثه تا عاشره اش می داند بلکه از جوهر و کیفیت آنها آگاه است . [ مهندس = کسی که هندسه می داند / هندسه = یک علمِ مستقل و مبنی بر علمِ هیئت و حساب است که مقادیر اشیاء را نشان می دهد و فنِ رصد به آن بستگی دارد . اگر چنان که علمِ هندسه نباشد رصدی وجود ندارد ]
ز انقلابِ زمانه عجب مدار که چرخ / ازین فسانه هزاران هزار دارد یاد,از تغییر زمانه و دگرگونی احوال و اوضاعِ اهلِ زمانه تعجب نکن زیرا فلک هزاران افسانه چون این به خاطر دارد . یعنی قصه ها و افسانه های زیاد از اهِ عالَم به یاد دارد . [ انقلابِ زمانه = تغییر زمانه و شاید هم احوال و اطوارِ اهلِ زمانه ]
قدح به شرطِ ادب گیر ز آنکه ترکیبش / ز کاسۀ سرِ جمشید و بهمن است و قباد,قدحِ باده را با رعایت ادب دست بگیر زیرا ترکیب آن از کاسۀ سرِ سه پادشاه مشهور است یعنی گِلَش از خاک سرِ جمشید و بهمن و قباد است . چنانکه عمر خیام می فرماید : این کاسه که بس نکوش پرداخته اند / بشکسته و در رهگذر انداخته اند  زنهار قدم بَر او به خواری ننهی / کین کاسه ز کاسه های سر ساخته اند *جمشید و بهمن و قباد اسامی پادشاهانی است که قبل از حضرت محمد (ص) آمده اند و نام هر کدامشان در شاهنامه مفصل ذکر شده است *
که آگه است که کاوس و کی کجا رفتند / که واقف است که چون رفت تختِ جم بر باد,چه کسی خبر دارد که کاوس و کی به کجا رفته اند و چه کسی می داند که حضرت سلیمان روی باد چگونه حرکت می کرد و به ایهام مقصود آنکه تختِ سلیمان چگونه بر باد رفت و نابود شد . حاصل کلام اینکه : این همه پادشاهان بزرگ که به این عالَم آمده اند معلوم نیست عاقبت کجا رفتند یعنی دنیا دار فناست . و هر که به دنیا آید باقی نمی ماند و حتماََ از این دنیا می رود . [ کاوس = همان کیکاوس،  پادشاه کیانی مقصود است / کی = لقبِ پادشاهان سلسلۀ کیان / تخت جم = تخت سلیمان ]
ز حسرتِ لبِ شیرین هنوز می بینم / که لاله میدمد از خونِ دیدۀ فرهاد,هنوز هم می بینم که در سرشک خونین فرهاد که در غمِ جدایی از لبِ شیرین بر خاک می چکد . لالۀ سرخ سر از زمین برمیزند .
مگر که لاله بدانست بی وفایی دَهر / که تا بزاد و بشد جامِ مِی ز کف ننهاد,گویی لاله از بی وفایی دنیا خبر دارد زیرا از زمانی که به دنیا آمد تا زمانی که از دنیا رفت ، جام می را از دستش به زمین نگذاشت . یعنی سراسرِ عمرش به باده نوشی گذشت .
بیا بیا که زمانی ز مِی خراب شویم / مگر رسیم به گنجی در این خراب آباد,خطاب به عام می فرماید : بیا تا زمانی از می خراب شویم یعنی مست و لایعقل شویم شاید که در این خراب آباد به گنجی برسیم . [ بشتاب و بیا تا با نوشیدن مِی معرفت بنیاد خودپرستی را ویران کنیم شاید به گنجِ وصالِ جانان در این خراب آباد جهان که آبادیش عینِ ویرانی است دست یابیم . ]
نمی دهند اجازت مرا به سیر و سفر / نسیمِ بادِ مصلا و آبِ رکناباد,نسیم مصلی و آب رکناباد به من اجازه گردش و سفر کردن نمی دهند . یعنی به سبب علاقه زیادی که به این دو دارم نمی توانم آنها را ترک کنم و به گردش و سفر و سیاحت عالَم بپردازم . [ مصلی = نمازگاهِ شیراز است که آبِ رکناباد از کنارش جاری می شود و اطرافش مزارع و باغاتِ سبز و خرم است ]
قدح مگیر چو حافظ مگر بنالۀ چنگ / که بسته اند بر ابریشمِ طرب دل شاد,حافظ وار با نغمۀ چنگ ، ساغر بگیر و بنوش . چرا که شادی خاطر را بر تارهای ابریشمین چنگ بسته اند . یعنی شادی از شنیدن نوای چنگ در دل پیدید می آید . شرح و تفسیر بیت 100                      شرح و تفسیر بیت 102
دی پیرِ مِی فروش که ذکرش به خیر باد / گفتا شراب نوش و غمِ دل ببر ز یاد,یادش بخیر آن پیر می فروش که دیروز گفت : شراب بنوش و غم را فراموش کن . [ ذکرش بخیر = یادش بخیر ]
گفتم به باد میدهدم باده نام و ننگ / گفتا قبول کن سخن و هر چه باد باد,به آن پیرِ می فروش گفتم : آخر باده آبرویم را می برد و رسوایم می کند . در جوابم گفت : تو کار به کارها نداشته باش ، حرف مرا قبول کن و هر چه باد باد . یعنی تو خوش باش و به فکرِ نام و ننگ مباش چونکه طریق عشق با نام و ننگ سازگار نیست بلکه در عالم عشق .
سود و زیان و مایه چو خواهد شدن ز دست / از بهرِ این معامله غمگین مباش و شاد,خواجه به عام خطاب می کند : چون سرمایه و سود و زیان همگی از بین خواهد رفت . پس از بهر معامله ای که ذکرش گذشت نه غمگین باش و نه شاد . خلاصه چون این دنیا خانۀ فناست پس نه برای فایده اش خوشحال باش و نه از ضررش غمگین .
بادت به دست باشد اگر دل نهی به هیچ / در معرضی که تختِ سلیمان رود به باد,اگر دل به هیچ نهی ، در دستت جز باد چیزی نخواهد ماند . یعنی اسبابِ دنیا که مثلِ خودِ دنیا فانی محض و به مثابۀ هیچ است اگر دل بدان بندی و تعلق و علاقه ای پیدا کنی ، چون بادی است که در دستت باشد . یعنی حاصل و فایده ات هیچ است . در مقامی که تختِ سلیمان فانی  شود یعنی با وجود اینکه باد آنرا با اراده سلیمان حرکت می دهد . عاقبت تختش به باد رود . خلاصه هر که به فانی دل بندد نتیجه ای که در دستش می ماند هیچ است . [ معرض = در اینجا به معنی مقام ]
حافظ اگرت ز پندِ حکیمان ملالت است / کوته کنیم قصه که عمرت دراز باد,ای حافظ اگر از پندِ حکیمان ملالت و کسالت پیدا می کنی یعنی از نصایحشان ملول و ناراحت می شوی . قصه را طولانی نکنیم . ما از نصیحت گذشتیم برو که به خدا سپردیمت . [ عمرت دراز باد = تو را به خدا سپردیم ] شرح و تفسیر غزل 99                      شرح و تفسیر غزل 101
