,topic,poetry
21,eshq,به شادی و آسایش و خواب و خور ‪ ندارند کاری دل افگارها
22,eshq,دربیابان‌گر به شوق کعبه خواهی زد قدم ‪ سرزنش‌ها گرکند خارمغیالن غم مخور
23,eshq,مالک ملک وجود‪ حاکم رد و قبول ‪ هر چه کند جور نیست ور تو بنالی جفاست
24,eshq,وصال دوست طلب می‌کنی بالکش باش ‪ که خار و گل هم با یکدگر تواند بود
25,eshq,نازپرورد تنعم نبرد راه به دوست ‪ عاشقی شیوه رندان بالکش باشد
26,eshq,زشت باید دید و انگارید خوب ‪ زهر باید خورد و انگارید قند
27,eshq,یا رب این کعبه مقصود تماشاگه کیست ‪ که مغیالن طریقش گل و نسرین من است
28,eshq,باغبان‌گر پنچ روزی صحبت گل بایدش ‪ بر جفای خار هجران صبر بلبل بایدش
29,eshq,فراز و نشیب عشق دام بالست ‪ کجاست شیر دلی کز بال نپرهیزد
30,eshq,جمال کعبه چنان می‌کشاندم به نشاط ‪ که خارهای مغیالن حریر می‌آید
31,eshq,ولی رادمردان و وارستگاران ‪ نبازند هرگز به مردارها
32,eshq,کی کند عاشقی نگاهی درجهان ‪ زان که عاشق را جهانی دیگراست
33,eshq,همه سالمت نفس آرزو کند مردم ‪ خالف من که به جان می‌خرم بالیی
34,eshq,حدیث عشق نداندکسی که درهمه عمر‪ به سرنکوفته باشد درسرایی را
35,eshq,اگرتو جورکنی رای ما دگر نشود ‪ هزارشکر بگوییم هرجفایی را
36,eshq,طریق عشق پر آشوب و فتنه است ای دل ‪ بیفتد آنکه در این راه باشتاب رود
37,eshq,ما سیه گلیمان را جز بال نمی‌شاید ‪ بر دل بهایی نه هر بال که بتوانی
38,eshq,اهل کام و ناز را در کوی رندی راه نیست ‪ رهروی باید جهان سوزی نه خامی بی غمی
39,eshq,حاصلی نیست به جز غم ز جهان خواجو را ‪ شادی جان کسی کاو ز جهان آزاد است
40,eshq,طره پریشانش دیدم و به دل گفتم ‪ این همه پریشانی بر سر پریشانی
41,eshq,بگفت آنجا به صنعت در چه کوشند ‪ بگفت انده خرند و جان فروشند
42,eshq,کشیدند در کوی دلدادگان ‪ میان دل و کام دیوارها
43,eshq,عشق جویی و عافیت طلبی ‪ عشق با عافیت کدام بود
44,eshq,زخم خونینم اگر به نشود به باشد ‪ خنک آن زخم که هر لحظه مرا مرهم از اوست
45,eshq,عاشقان کشتگان معشوقند ‪ برنیاید زکشتگان آواز
46,eshq,ای مدعیان در طلبش بی خبرانند ‪ کان را که خبر شد خبری باز نیامد
47,eshq,ای مرغ سحر عشق زپروانه بیاموز ‪ کان سوخته را جان شد و آواز نیامد
48,eshq,الف تقرب مزن به حضرت جانان ‪ زان که خموشند بندگان مقرب
49,eshq,تا نگردی بی خبر از جسم و جان ‪ کی خبر یابی ز جانان یک زمان
50,eshq,بدان مقام رسید اتحاد من و دوست ‪ که باز می‌نشناسم که این منم یا دوست
51,eshq,دست درکش کرد و با آتش به هم ‪ خویشتن گم کرد با او خوش به هم
52,eshq,دست از مس وجود چو مردان حق بشوی ‪ تا کیمیای عشق بیابی و زر شوی
53,eshq,صورت من همه او شد صفت من همه او ‪ الجرم کس من و من نشنود اندرسخنم
54,eshq,از نارسیدگی است که صوفی می‌کند خروش ‪ سیالب چون به بحر رسد می‌شود خاموش
55,eshq,آن که شد هم بی خبر هم بی اثر ‪ از میان جمله او دارد خبر
56,eshq,از تن دوست در سرای مجاز ‪ جان برون آید و نیاید راز
57,eshq,تا که خبر دارم از او بی خبر از خویشتنم ‪ با وجودش زمن آواز نیاید که منم
58,eshq,کسی را که در این بزم ساغر دهند ‪ که داروی بی هوشیش در دهند
59,eshq,هر که را اسرار حق آموختند ‪ مهر کردند و دهانش دوختند
60,eshq,بگفتا گربه سریا بیش خشنود ‪ بگفت ازگردن این وام افکنم زود
61,eshq,بگفتا جان مده بس دل که با اوست ‪ بگفت دشمن اند این هردو بی دوست
62,eshq,بگفتا گرخرامی درسرایش ‪ بگفت اندازم این سرزیرپایش
63,eshq,عاشقی را یکی فسرده بدید ‪ که همی مرد و خوش همی خندید
64,eshq,که جان عاشق چون تیغ عشق برباید ‪ هزار جان مقدس به شکر آن بنهد
65,eshq,درآمد آتش عشق و بسوخت هر چه جز اوست ‪ چو جمله سوخته شد شاد باش و خوش می‌خند
66,eshq,سینه خواهم شرحه شرحه ازفراق ‪ تا بگویم شرح درد اشتیاق
67,eshq,تا نگردی آشنا زین پرده رمزی نشنوی ‪ گوش نامحرم نباشد جای پیغام سروش
68,eshq,آنچه برمن می‌رود در بندت ای آرام جان ‪ با کسی گویم که در بندی گرفتار است
69,eshq,حال شب‌های مرا همچو منی داند و بس ‪ تو چه دانی که شب سوختگان چون گذرد
70,eshq,حدیث عشق نداند کسی که در همه عمر ‪ به سر نکوفته باشد در سرایی را
71,eshq,در نیابد حال پخته هیچ خام ‪ پس سخن کوتاه باید والسالم
72,eshq,مدعی خواست که آید به تماشاگه راز ‪ دست غیب آمد و بر سینه نامحرم زد
73,eshq,همیشه صداهایی در طبیعت و رازهایی در آسمان هست که همه کس نه توانند آنرا بخوانند و نه آنرا بشنود
74,eshq,شب فراق که داند که تا سحر چند است ‪ مگر کسی که به زندان عشق در بند است
75,eshq,سخن را روی در صاحب دالن است ‪ نگویند از حرم اال به محرم
76,eshq,عشق در هر دلی فرو ناید ‪ زان که هر سینه محرم رازی است
77,eshq,اسرار خرابات به جز مست نداند ‪ هشیار چه داند که در این کوچه چه راز است
78,eshq,محرم این هوش جز بی هوش نیست ‪ مر زبان را مشتری جز گوش نیست
79,eshq,منم همچون پیاده تو سواری ‪ از رنج پایم آگاهی نداری
80,eshq,مرغان قفس باشد را المی باشد و شوقی ‪ کان مرغ نداند که گرفتار نباشد
81,eshq,هم عارفان عاشق دانند حال مسکین ‪ گر عارفی بنالد یا عاشقی بزارد
82,eshq,حدیث عشق جانان گفتنی نیست ‪ وگر گویی کسی همدرد باید
84,eshq,در مکتب عشق هان ای پسر بکوش ‪ تا کیمیای عشق بیابی و زر شوی
85,eshq,چو شبنم اوفتاده بودم پیش آفتاب ‪ مهرم به جان رسید و به عیوق برشدم
86,eshq,ورامروز اندراین منزل تورا جانی زیان آمد ‪ زهی سرمایه و سودا که فردا زان زیان بینی
87,eshq,تو یک ساعت چو افریدون به میدان باش تا زان پس ‪ به هر جانب که روی آری درفش کاویان بینی
88,eshq,از کیمیای مهر تو زر گشت روی من ‪ آری به لطف یمن شما خاک زر شود
89,eshq,دست از مس وجود چو مردان ره بشوی ‪ تا کیمیای عشق بیابی و زر شوی
90,eshq,گویند روی سرخ تو سعدی که زرد کرد ‪ اکسیر عشق بر مسم افتاد و زر شدم
91,eshq,چو شبنم بیفتاد مسکین و خرد ‪ به مهر آسمانش به عیوق برد
92,eshq,بگفتا رو صبوری کن در این درد ‪ بگفت از جان صبوری چون توان کرد
93,eshq,جان ماهی آب باشد صبر بی جان چون بود ‪ چون که بی جان صبر نبود چون بود بی جان ز جان
94,eshq,صبوری از طریق عشق دور است ‪ نباشد عاشق آن کس کاو صبور است
95,eshq,به عشق اندر صبوری خام کاری است ‪ بنای عاشقی بر بی قراری است
96,eshq,مستی و عاشقیم برد ز دست ‪ صبر ناید ز هیچ عاشق مست
97,eshq,دیدی که مرا هیچ کسی یاد نکرد ‪ جزغم که هزار آفرین برغم باد
98,eshq,این فخر بس مرا که چون پیدا شوم زدور‪ شادی کنان غم تو به رویم سالم کرد
99,eshq,آگه نیم که چیست غمم را سبب ولی ‪ دانم که یاد غم سبب شادی من است
100,eshq,شادم به روز غم که غم غمگسار گشت ‪ که غم چو روی شادی عالم بدیده ام
101,eshq,گر دیگران به عیش و طرب خرم اند و شاد ‪ ما را غم نگار بود مایه‌ی سرور
102,eshq,غم می‌خوریم و هیچ شکایت نمی‌کنیم ‪ ما راچه غم که غمت غمگسارماست
103,eshq,جان بهر غم است و بی غم امکان نبود ‪ هر جان که در او غم نبود جان نبود
104,eshq,چه شکر گویمت ای سیل غم عفاک اهلل ‪ که روز بی کسی آخر نمی‌روی ز برم
105,eshq,باز بانگی از نیستان می‌رسد ‪ غم به داد غم پرستان می‌رسد
106,eshq,غم را لطف لقب کن زغم و درد طرب کن ‪ هم از این خوب طلب کن فرج و امن و امان را
107,eshq,جانا به جز غم تو دلم را هوس مباد ‪ جز تو کسم ز جور تو فریاد رس مباد
108,eshq,ای بی وفا رسم وفا از غم بیاموز ‪ غم با همه بیگانگی هر شب به ما سر می‌زند
109,eshq,غمش را غیر دل سر منزلی نیست ‪ ولی آن هم نصیب هر دلی نیست
110,eshq,غم تو را به نشاط جهان نخواهم داد ‪ من این خریده خود را به هیچ نفروشم
111,eshq,دوستت دارم از این رو که مکافاتت می‌کنم
112,eshq,هرکه در این بزم مقرب‌تر است ‪ جام بال بیشترش می‌دهد
113,eshq,در حیرتند خیره سران از چه عشق دوست ‪ احباب را به بند بال مبتال کند
114,eshq,هرکه بود طالب دیدار دوست ‪ آب دم نیشترش می‌دهد
115,eshq,اگر با من نبودش هیچ میلی ‪ چرا ظرف مرا بشکست لیلی
116,eshq,بار رنج کش به شب قیرگون ‪ هرچه عنا بیش عنایت فزون
117,eshq,به او نزدیکترمی شوید‪ گرچه بیشتر آزار ببینید ‪ 
118,eshq,مجموعه‌ای می‌بایست ازهر دو عالم روحانی و جسمانی تا بار امانت مردانه و عاشقانه در سفت جان کشد ‪ 
119,eshq,آسمان بارامانت نتوانست کشید ‪ قرعه کار به نام من دیوانه زدند
120,eshq,آسمان سست پی مرد شکوه عشق نیست ‪ رخش می‌بایدکه رستم را به میدان آورد
121,eshq,درازل پرتو حسنت زتجلی دم زد ‪ عشق پیدا شد و آتش به همه عالم زد ‪ 
122,eshq,آدمی‌گر خون بگرید ازگرانباری رواست ‪ کان چه نتوانست بردن آسمان بر دوش اوست ‪ 
123,eshq,آسمان کی می‌تواند کرد کار عشق را ‪ بر نمی‌آید ز دست شیشه‌گر آهنگری
124,eshq,عشق باالتر از آن است که در وصف آید ‪ چرخ کبکی است که در چنگال این شهباز است
125,eshq,عشق دعوی می‌کند بار بال بر دوش نه ‪ نقد خود بر سنگ زن بنگر عیار خویش را
126,eshq,بگفتا دوری ازمه نیست درخور ‪ بگفت آشفته ازمه دوربهتر
127,eshq,زهرسوکرد برعادت نگاهی ‫نظرناگه درافتادش به ماهی
128,eshq,بیش آشفته شد تا بیشتر دید‫چولختی دید از آن دیدن خطر دید
129,eshq,درافتادش به ماهی ‫که بیش آشفته شد تا بیشتر دید
130,eshq,گر مدعیان نقش ببینند پری را ‪ دانند که دیوانه چرا جامه دریده است
131,eshq,تا رفتنش ببینم و گفتنش بشنوم‪ ازپای تا به سرهمه سمع و بصرشدم
132,eshq,با صد هزار جلوه برون آمدی که من ‪ با صد هزار دیده تماشا کنم تو را
133,eshq,از غبار پایش کرده‌ام کحل نظر ‪ سرمه کی باشد به چشم انتظارم کارگر
134,eshq,یاد باد آن که سر کوی توام منزل بود ‪ دیده را روشنی از خاک درت حاصل بود
135,eshq,من چشم از او چگونه توانم نگاه داشت ‪ کاول نظر به دیدن او دیده ور شدم
136,eshq,تا مرا با نقش رویش آشنایی اوفتاد ‪ هر چه می‌بینم به چشمم نقش دیوار آمدست
137,eshq,چه چیز را دشوار پنهان می‌توان داشت آتش را که در روز دودش از راز نهان خبر می‌دهد و در شب شعله‌اش پرده
138,eshq,می‌کند عشق نیز چون آتش است که پنهان نمی‌ماند‪ 
139,eshq,دهل زیر گلیم از خلق پنهان ‪ نشاید کرد و آتش زیر سر پوش
140,eshq,اظهار عشق را به زبان احتیاج نیست ‪ چندان که شد نگه به نگه آشنا بس است
141,eshq,عشقت به قول مدعی پنهان نشاید داشتن ‪ سرچشمه خورشید را نتوان به خاک انباشتن
142,eshq,عشق سعدی نه حدیثی است که پنهان ماند ‪ داستانی است که بر سر هر بازاری است
143,eshq,هزار جهد بکردم که سر عشق بپوشم ‪ نبود بر سر آتش میسرم که نجوشم
189,erfan,به جهان خرم از آنم که جهان خرم از اوست ‪ عاشقم بر همه عالم که همه عالم از اوست
190,erfan,الهی به بهشت و حور چه نازم مرا دیده‌ای ده که از هر نظر بهشتی سازم
191,erfan,بکوش تا عظمت در نگاه تو باشد نه در چیزی که به آن می‌نگری
192,erfan,من نمی‌دانم که چرا می‌گویند اسب حیوان نجیبی است ‪ کبوترزیباست ‪ و چرا درقفس هیچ کسی کرکس
193,erfan,‪ گل شبدر چه کم ازالله قرمز دارد 
194,erfan,اختالفی که هست درنام است ‪ ورنه سی روز بی گمان ماهی است
195,erfan,ورهنری داری و هفتادعیب ‪ دوست نبیند مگرآن یک هنر
196,erfan,گفت ازخوبان تو افزون نیستی ‪ گفت خامش چون تو مجنون نیستی
197,erfan,من عاشقم و دلم بدو گشت تباه ‪ عاشق نبود ز عیب معشوق آگاه
198,erfan,چشمان نظر به میوه کنند ‪ ما تماشا کنان بستانیم
199,erfan,تو به سیمای شخص می‌نگری ‪ ما در آثار صنع حیرانیم
200,erfan,جهان را سر به سر آیینه می‌دان ‪ به هر یک ذره‌ای صد مهر تابان
201,erfan,اگر یک را قطره را دل برشکافی ‪ برون آید از آن صد بحر صافی
202,erfan,به هر جزیی ز خاک ار بنگری راست ‪ هزاران آدم اندر او هویداست
203,erfan,درون حبه‌ای صد خرمن آمد ‪ جهانی اند دل یک ارزن آمد
204,erfan,به زیر پرده هر ذره پنهان ‪ جهان جان فزای روی جانان
205,erfan,شگفتا نگاه‌های لوکس مردم آسفالت نشین شهر ‪ آن را کهکشان می‌بیند و دهاتی‌های کاه کش کویر ‪ شاهراه
207,erfan,کلمات را کنار زنید و روحی را که در این تلقی و تعبیر پنهان است تماشا کنید
208,erfan,هر سال که یک کالس باالتر می‌رفتم از زیباییها و لذت‌ها و چهره‌های پر از ماورا محروم‌تر می‌شدم
209,erfan,دیدارها همه بر خاک و سخن‌ها همه از خاک 
210,erfan,به این علم عددبین مصلحت اندیش آلود‪ …
211,erfan,شکوه و شگفتی و زیبایی شورانگیز طلوع خورشید را باید از دور دید ‪ اگر نزدیکش رویم از دستش داده ایم‪ …
212,erfan,لطافت زیبای گل در زیر انگشتهای تشریح می‌پژمرد 
213,erfan,کار ما نیست شناسایی راز گل سرخ ‪ کار ما شاید این است ‪ که میان گل نیلوفر و قرن ‪ پی آواز حقیقت بدویم
214,erfan,بسیار کس ز پای در آورد اسب آز ‪ او را مگر نبود لگام و دهانه ای
215,erfan,پرواز کن ولی نه چندان دور از آشیان ‪ منمای فکر و آرزوی جاهالنه ای
216,erfan,تنم را در قناعت زنده دل دار ‪ مزاجم را به طاعت معتدل دار
217,erfan,در قناعت لب خشک و مژه پرنم نیست ‪ عالمی هست در این گوشه که در عالم نیست
218,erfan,آسودگی به کنج قناعت نشستن است ‪ سیر بهشت در گرو چشم بستن است
219,erfan,هر که آن جا نشیند که خواهد و مرادش بود چنانش کشند که نخواهد و مرادش نبود
220,erfan,آن که دل بگسلد از هر دو جهان درویش است ‪ آن که بشکفت ز پیدا و پنهان درویش است
221,erfan,پس از سی سال روشن گشت بر خاقانی این معنی ‪ که سلطانی است درویشی و درویشی است سلطانی
222,erfan,آرزوهای دو عالم دستگاه ‪ از کف خاکم غباری بیش نیست
223,erfan,فاش می‌گویم و از گفته خود دلشادم ‪ بنده عشقم و از هر دو جهان آزادم
224,erfan,چشم همت نه به دنیا که به عقبی نبود ‪ عارف عشق شوریده سرگردان را
225,erfan,به پادشاهی عالم فرو نیاردسر ‪ اگرزسر قناعت خبرشود درویش
226,erfan,دولت فقر خدایا به من ارزانی دار ‪ کاین کرامت سبب حشمت و تمکین من است
227,erfan,در این بازار اگر سودی است با درویش خرسند است ‪ خدایا منعمم گردان به درویشی و خرسندی
229,erfan,صبر کن با فقر و بگذار این مالل ‪ زانک در فقر است نور ذوالجالل
230,erfan,یک قدم برسر وجود نهی ‪ وان دگر در بر ودود نهی
232,erfan,کسی ز قید خزان و بهار شد آزاد ‪ که همچو سرو از این باغ چید دامن را
233,erfan,بر روزه قناعت خود صبر می‌کنیم ‪ گر جان به لب رسد غم دنیا نمی‌خوریم
234,erfan,به نان خشک قناعت کنیم و جامه دلق ‪ که کار منت خود به که بار منت خلق
235,erfan,که از دست رنج خویش و تره ‪ بهتر از نان دهخدا وبره
236,erfan,اگرخواهی که به ما رسی خود را بر در بگذار و درآی
237,erfan,می بهشت ننوشم ز جام ساقی رضوان ‪ مرا به باده چه حاجت که مست روی تو باشم
238,erfan,به مجمعی که درآیند شاهدان دو عالم ‪ نظر به سوی تو دارم غالم روی تو باشم
239,erfan,گر نباشد هر دو عالم گو مباش ‪ تو تمامی با تو ام تنها خوش است
240,erfan,هیچ ازدنیا و عقبی نبود گوشه خاطر‪ که به دیدارتو شغل است و فراغ ازدوجهانم
241,erfan,چه خوش‌تر از مشک است بوی یار من ‪ مشک یا عنبر چه کارآید مرا
242,erfan,وگر بهشت مصور کنند عارف را ‪ به غیر دوست نشاید که دیده بردارد
243,erfan,الهی گلهای بهشت در پای عارفان خار است ‪ جوینده تو را با بهشت چه کار است
244,erfan,سایه طوبی و دلجویی حور و لب حوض ‪ به هوای سر کوی تو برفت از یادم
245,erfan,روز رستاخیز کانجا کس نپردازد به کس ‪ من نپردازم به هیچ از گفت و گوی یار خویش
246,erfan,روز حشر برآیم سر ز خواب اجل ‪ به روی دوست شود باز چشم بسته من
247,erfan,گرنه روی تو بود من چه کنم باغ بهشت ‪ نتوان بهر گل و میوه به زندان بودن
248,erfan,خود با دو جهان چه کار ما را ‪ ما عاشق چهره نگاریم
249,erfan,از سر بیرون نکنم آرزوی خاک درت ‪ در آن زمان که مرا خاک بر سر انبارند
250,erfan,از آن به خاک درت مست می‌سپارم جان ‪ که هم به کوی تو مستم به خاک بسپارند
251,erfan,به امید آن که بر من بگذری ‪ با زمین یکسان شدم ای جان من
252,erfan,شد خاک بر درش سر جامی ولی هنوز ‪ سودای پای بوس وی از سر به در نکرد
253,erfan,آتش عشق تو در سینه من ننشیند ‪ مگر آن روز که در خاک نشانی بدنم
254,erfan,آنان که محیط فضل و آداب شدند ‪ در جمع کمال شمع اصحاب شدند
255,erfan,زین شب تاریک نبردند برون ‪ گفتند فسانه‌ای و در خواب شدند
256,erfan,آنکه پر نقش زد در این دایره مینایی‪ کس ندانست که در گردش پرگار چه کرد
257,erfan,کس ز آغاز و ز انجام جهان آگه نیست ‪ اول و آخر این کهنه کتاب افتاده است
258,erfan,جنگ هفتاد و دو ملت همه را عذر بنه ‪ چون ندیدند حقیقت ره افسانه زدند
259,erfan,بروطواف دلی کن که کعبه مخفی است ‪ که آن خلیل بناکرد و این خداخودساخت
260,erfan,بدین فردی که آمد حبه دل ‪ خداوند دو عالم راست منزل
261,erfan,آیینه سکندر جام می‌است بنگر ‪ تا برتو عرضه دارد احوال ملک دارا
262,erfan,کعبه خود سنگ نشانی است که ره گم نشود ‪ حاجی احرام دگر بند ببین یار کجاست
263,erfan,صوفی بیا که کعبه مقصود در دل است ‪ حاجی به هرزه راه بیابان گرفته است
264,erfan,تا به جایی می‌رسی که می‌نرسد ‪ پای اوهام و پایه افکار
265,erfan,از جمادی مردم و نامی شدم ‪ و زنما مردم ز حیوان سر زدم
266,erfan,و ز ملک بایدم پران شوم ‪ آن چه اندر وهم نیاید آن شوم
267,erfan,رسد آدمی به جایی که جز خدا نبیند ‪ بنگر که تا چه حد است مکان آدمیت
268,erfan,بار یابی به محفلی کان جا ‪ جبرییل امین ندارد بار
269,erfan,شبی برنشست از فلک بر گذشت ‪ به تمکین و جاه از ملک برگذشت
270,erfan,چنان گرم در تیه قربت براند ‪ که در سدره جبرییل از او باز ماند
271,erfan,مگر آدمی نبودی که اسیر دیو ماندی‪ که فرشته ره ندارد به مکان آدمیت
273,khodavand,نتوان وصف تو گفتن که تو در فهم نگنجی ‪ نتوان شبه تو گفتن که تو در وهم نیایی
274,khodavand,ای برتر از خیال و قیاس و گمان و وهم ‪ و ز هرچه گفته‌اند و شنیده‌ایم و خوانده ایم
275,khodavand,کسی ماهیت ذاتش نداند ‪ که کس با او و او با کس نماند
276,khodavand,نه بر اوج ذاتش پرد مرغ وهم ‪ نه در ذیل وصفش رسد دست فهم
277,khodavand,مجلس تمام گشت و به آخر رسید عمر ‪ ما همچنان در اول وصف تو مانده ایم
279,khodavand,به قیاس در نگنجی و به وصف در نیایی ‪ متحیرم در اوصاف جمال و روی زیبت
280,khodavand,ای صمدی که از ادراک خلق جدایی و ای احدی که در ذات و صفات بی همتایی
281,khodavand,ما به فلک بوده‌ایم یار ملک بوده‌ایم ‪ باز همان جا رویم جمله که آن شهر ماست
282,khodavand,مایه خوشدلی آنجاست که دلدار آنجاست ‪ می کنم جهد که خود را مگر آنجا فکنم
283,khodavand,ما ز دریاییم و دریا می‌رویم ‪ ما زباالییم و باال می‌رویم
284,khodavand,چنین قفس نه سزای چو من خوش الحانی است ‪ روم به روضه رضوان که مرغ آن چمنم
285,khodavand,هرکسی کاو دور ماند از اصل خویش‪ باز جوید روزگار وصل خویش
286,khodavand,دال تا کی در این زندان فریب این و آن بینی ‪ یکی زین چاه ظلمانی برون شو تا جهان بینی
287,khodavand,بلبل گلشن قدسم شده از جور فلک ‪ بی گنه بسته زندان و گرفتار قفس
288,khodavand,من ملک بودم و فردوس برین جایم بود ‪ آدم آورد در این خراب آبادم
289,khodavand,باز خواهم بسوی مسکن عقبی رفتن ‪ چه کنم گلخن دنیا پس از اینم بس و بس
290,khodavand,جان که از عالم باالست یقین می‌دانم ‪ رخت خود باز برآنم که همان جا فکنم
291,khodavand,سیمرغ جان کجا کند از گلخن آشیان ‪ کاو را هوای تربت آن سبز گلشن است
295,khodavand,هیچ ازدنیا و عقبی نبود گوشه خاطر ‪ که به دیدارتو شغل است و فراغ از دو جهانم
296,khodavand,خود را بر در بگذار و درآی ‪ …
297,khodavand,یک قدم برسروجود نهی ‪ وان دگر برودود نهی
298,khodavand,نشان خواهی از وی ز خود بی نشان شو ‪ که من زو نشان جستم از بی نشانی
299,khodavand,هر عصب و فکر به منبع بی شایبه ایمان وصل بود که خوب و بد را به عنوان مشیت الهی می‌پذیرفت‪ 
300,khodavand,زاهدان را زهد و ما را عشق خوبان شد نصیب ‪ هر کسی را در ازل خود آنچه قسمت بود داد
301,khodavand,در طریقت هر چه پیش سالک آید خیر اوست ‪ در صراط مستقیم ای دل کسی گمراه نیست
302,khodavand,مرا جفا و وفای تو پیش یکسان است ‪ هر چه دوست پسندد به جای دوست نکوست
303,khodavand,ز چرخ آمد همه چیزی نوشته ‪ نوشته با روان ما سرشته
304,khodavand,نوشته جاودان دیگر نگردد ‪ به رنج و کوشش از ما برنگردد
305,khodavand,ز چرخ آمد قضا نه از کام مردم ‪ ازیرا بنده آمد نام مردم
306,khodavand,نیکی و بدی که در نهاد بشر است ‪ شادی و غمی که در قضا و قدر است
307,khodavand,محبوسم و طالع است منحوسم ‪ غمخوارم و اختراست خونخوارم
308,khodavand,سر سازگاری ندارد سپهر ‪ کمر بسته بر کین ما ماه و مهر
309,khodavand,کار عالم سست بنیاد آمده است ‪ آسمان را پیشه بیداد آمده است
310,khodavand,ز آسمان هر سنگ بیدادی که آمد بر زمین ‪ کرد بخت بد من مدد کان بر سبوی من رسید
311,khodavand,کوکب بخت مرا هیچ منجم نشناخت ‪ یا رب از مادر گیتی بچه طالع زادم 
312,khodavand,هر آنکه گردش گیتی به کین او برخواست ‪ به غیر مصلحتش رهبری کند ایام
313,khodavand,ز نوای مرغ یا حق بشنو که در دل شب ‪ غم دل به دوست گفتن چه خوش است شهریارا
314,khodavand,سحر بر شاخسار بوستانی ‪ چه خوش می‌گفت مرغ نغمه خوانی
315,khodavand,هر چه اندر سینه داری ‪ سرودی ‪ ناله‌ای ‪ آهی ‪ فغانی
316,khodavand,گفتم این شرط آدمیت نیست ‪ مرغ تسبیح گوی و من خاموش
317,khodavand,من نمازم را وقتی میخوانم ‪ که اذانش را باد گفته باشد سر گل دسته سرو ‪ من نمازم را پی تکبیره االحرام علف
319,khodavand,بنفشه در رکوع آمد چو سنبل در خشوع آمد ‪ چو نرگس چشمکش می‌زد که وقت اعتبار آمد
320,khodavand,یسبح اهلل ما فی السموات و ما فی االرض
321,khodavand,ز یزدان دان نه از ارکان که کوته دیدگی باشد ‪ که خطی کز خرد خیزد تو آن را از بنان بینی
322,khodavand,چه اندیشی ازخود که فعلم نکوست ‪ از آن درنگه کن که توفیق اوست
323,khodavand,به سعی خود نتوان برد پی به گوهر مقصود‪ خیال باشد کاین کاربی حواله برآید
324,khodavand,گرچه تیر از کمان همی گذرد ‪ از کمان دار بیند اهل خرد
325,khodavand,سعادت به بخشایش داور است ‪ نه در چنگ و بازوی زور آور است
326,khodavand,گر از حق به توفیق خیری رسد ‪ کی از بنده چیزی به غیر رسد
327,khodavand,باران رحمت بی حسابش همه را رسیده و خوان نعمت بی دریغش همه جا کشیده ‪ پرده ناموس بندگان به گناه
328,khodavand,ندرد و وظیفه روزی به خطای منکر نبرد ‪ 
329,khodavand,ولیکن خداوند باال و پست ‪ به عصیان دررزق برکس نبست
330,khodavand,ادیم زمین سفره عام اوست ‪ برین خوان یغما چه دشمن چه دوست
331,khodavand,دوکونش یکی قطره ازبحرعلم ‪ گنه بیند و پرده پوشد به حلم
332,khodavand,ابر و باد و مه و خورشیدو فلک درکارند ‪ تا تو نانی به کف آری و به غفلت نخوری
333,khodavand,لطیف کرم گستر کارساز ‪ که دارای خلق است و دانای راز
334,khodavand,این همه شهد وشکر کز سخنم می‌ریزد ‪ اجر صبری است کزان شاخه نباتم دادند
335,khodavand,من اگرکامروا گشتم و خوشدل چه عجب ‪ مستحق بودم و این‌ها به زکاتم دادند
